experiment,condition_id,context,fragment_names,n_fragments,active_fragments,n_active_fragments,cue_stanchions,cue_waiting_area,cue_service_sign,cue_social_density,n_primitives,primitive_set,sequence,sequence_length,backbone_length,total_VFE,mean_VFE,max_VFE,total_EFE,efe_rate,per_transition_VFE,n_obligatory,n_advancing,n_returning,topology_density,inferred_context,belief_confidence,belief_entropy,belief_reception,belief_corridor,belief_hospital,effective_affinities,weighted_scores,primitive_weights,D_KL_from_baseline
exp3,exp3_reception_all6,reception,"observe_scene,queue_position,wait_patiently,approach_service,courtesy_space,direct_approach",6,"observe_scene,queue_position,wait_patiently,approach_service,direct_approach",5,0,0,0,0,9,"approach-counter,engage-staff,gaze-at-agent,gaze-scan,position-in-queue,scan-environment,wait-acknowledge,wait-for-turn,yield-pass",scan-environment -> position-in-queue -> wait-for-turn -> gaze-scan -> approach-counter -> gaze-at-agent -> engage-staff -> yield-pass -> wait-acknowledge,9,6,9.21034,1.151293,2.302585,26.15983,2.906648,1.151293,2,6,3,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""queue_position"": 0.799894, ""wait_patiently"": 0.703971, ""approach_service"": 0.896072, ""courtesy_space"": 0.307749, ""direct_approach"": 0.931688}","{""direct_approach"": 0.090141, ""approach_service"": 0.087569, ""observe_scene"": 0.08722, ""queue_position"": 0.082485, ""wait_patiently"": 0.077757}","{""approach-counter"": 0.088855, ""engage-staff"": 0.04507, ""gaze-at-agent"": 0.043784, ""gaze-scan"": 0.04361, ""scan-environment"": 0.04361, ""position-in-queue"": 0.041242, ""yield-pass"": 0.041242, ""wait-acknowledge"": 0.038878, ""wait-for-turn"": 0.038878}",0.0
exp3,exp3_corridor_all6,corridor,"observe_scene,queue_position,wait_patiently,approach_service,courtesy_space,direct_approach",6,"observe_scene,wait_patiently,approach_service,courtesy_space",4,0,0,0,0,8,"approach-counter,gaze-at-agent,gaze-avert,gaze-scan,scan-environment,wait-acknowledge,wait-for-turn,yield-pass",wait-for-turn -> gaze-scan -> approach-counter -> gaze-avert -> yield-pass -> wait-acknowledge -> scan-environment -> gaze-at-agent,8,4,9.21034,1.315763,2.302585,33.211328,4.151416,1.315763,1,4,4,1.0,corridor,0.906228,0.375391,0.052947,0.906228,0.040825,"{""observe_scene"": 0.444845, ""queue_position"": 0.350968, ""wait_patiently"": 0.528961, ""approach_service"": 0.442803, ""courtesy_space"": 0.765362, ""direct_approach"": 0.237669}","{""courtesy_space"": 0.064708, ""wait_patiently"": 0.051, ""observe_scene"": 0.046346, ""approach_service"": 0.046342}","{""gaze-avert"": 0.032354, ""yield-pass"": 0.032354, ""wait-acknowledge"": 0.0255, ""wait-for-turn"": 0.0255, ""gaze-scan"": 0.023173, ""scan-environment"": 0.023173, ""approach-counter"": 0.023171, ""gaze-at-agent"": 0.023171}",1.956306
exp3,exp3_hospital_all6,hospital,"observe_scene,queue_position,wait_patiently,approach_service,courtesy_space,direct_approach",6,"observe_scene,queue_position,wait_patiently,approach_service,courtesy_space",5,0,0,0,0,9,"approach-counter,gaze-at-agent,gaze-avert,gaze-scan,position-in-queue,scan-environment,wait-acknowledge,wait-for-turn,yield-pass",scan-environment -> position-in-queue -> wait-for-turn -> gaze-scan -> approach-counter -> yield-pass -> wait-acknowledge -> gaze-at-agent -> gaze-avert,9,5,6.907755,0.863469,2.302585,36.369036,4.041004,0.863469,2,5,4,1.0,hospital,0.964641,0.16072,0.033312,0.002047,0.964641,"{""observe_scene"": 0.850745, ""queue_position"": 0.895441, ""wait_patiently"": 0.940751, ""approach_service"": 0.802513, ""courtesy_space"": 0.590416, ""direct_approach"": 0.176752}","{""wait_patiently"": 0.08835, ""queue_position"": 0.08559, ""observe_scene"": 0.083793, ""approach_service"": 0.081452, ""courtesy_space"": 0.071757}","{""wait-acknowledge"": 0.044175, ""wait-for-turn"": 0.044175, ""position-in-queue"": 0.042795, ""yield-pass"": 0.078674, ""gaze-scan"": 0.041896, ""scan-environment"": 0.041896, ""approach-counter"": 0.040726, ""gaze-at-agent"": 0.040726, ""gaze-avert"": 0.035879}",1.086679
